,lat,lon
103,39.2903848,-76.6121893
104,43.653226,-79.3831843
105,32.7092955,-96.0083018
106,44.3148443,-85.6023643
107,43.1435564,-93.3788108
108,19.4326077,-99.133208
109,44.2311717,-76.4859544
110,47.7510741,-120.7401385
111,40.1853352,-105.1035581
112,43.8561002,-79.3370188
113,51.253775,-85.323214
114,21.161908,-86.8515279
115,19.4326077,-99.133208
116,42.331427,-83.0457538
117,41.8500302,-87.9645077
118,39.0398315,-76.9930319
119,29.7604267,-95.3698028
120,38.9071923,-77.0368707
121,44.977753,-93.2650108
122,38.8386738,-84.8268925
123,20.6596988,-103.3496092
124,43.653226,-79.3831843
125,43.0895577,-79.0849436
126,39.0839973,-77.1527578
127,34.9495672,-81.9320482
128,35.4993031,-80.8486846
129,38.9536174,-94.7335709
130,38.5736176,-97.6744838
131,41.6528052,-83.5378674
132,34.7464809,-92.2895948
133,34.0686208,-117.9389526
134,38.9071923,-77.0368707
135,51.253775,-85.323214
136,18.4655394,-66.1057355
137,41.1099473,14.8475139
138,44.3893556,-79.6903316
139,19.5345279,-99.1907364
140,38.9071923,-77.0368707
141,38.9071923,-77.0368707
142,39.7392358,-104.990251
143,40.7234542,-95.0431997
144,19.0414398,-98.2062727
145,40.719283,-73.955995
146,41.2523634,-95.9979883
147,5.7348119,0.0302354
148,44.9537029,-93.0899578
149,42.3600825,-71.0588801
150,41.7434092,-92.7232456
151,18.9242095,-99.2215659
152,41.8781136,-87.6297982
153,38.984652,-77.0947092
154,40.6519679,-75.5742467
155,35.1427533,-120.6412827
156,40.8298006,-74.2401609
157,40.789142,-73.134961
158,38.9906657,-77.026088
159,38.9071923,-77.0368707
160,20.5279612,-100.8112885
161,33.1506744,-96.8236116
162,39.9611755,-82.9987942
163,19.4326077,-99.133208
164,43.0829453,-73.7867428
165,39.7392358,-104.990251
166,42.3600825,-71.0588801
167,18.220833,-66.590149
168,44.8831125,-68.6719411
169,-2.1709979,-79.9223592
170,19.4326077,-99.133208
171,37.7749295,-122.4194155
172,39.7606013,-86.5263879
173,40.4172871,-82.907123
174,30.4382559,-84.2807329
175,40.6781784,-73.9441579
176,40.6685393,-111.8723896
177,37.4337342,-122.4014193
178,40.4172871,-82.907123
179,38.9071923,-77.0368707
180,38.9071923,-77.0368707
181,55.755826,37.6172999
182,38.9071923,-77.0368707
183,38.9071923,-77.0368707
184,18.0110768,-66.6140616
185,37.7749295,-122.4194155
186,51.5070995,-0.1477681
187,41.308274,-72.9278835
188,40.7127753,-74.0059728
189,28.5383355,-81.3792365
190,40.1028264,-84.6330115
191,18.9242095,-99.2215659
192,40.7127753,-74.0059728
193,35.4380715,-88.6392483
194,40.7127753,-74.0059728
195,40.7127753,-74.0059728
196,32.9445682,-87.1386067
197,36.778261,-119.4179324
198,35.0077519,-97.092877
199,34.0522342,-118.2436849
200,33.7489954,-84.3879824
201,41.4819932,-81.7981908
202,41.8239891,-71.4128343
203,34.7464809,-92.2895948
204,39.9689532,-82.9376804
205,39.9611755,-82.9987942
206,53.4807593,-2.2426305
207,39.9403453,-82.0131924
208,39.0457549,-76.6412712
209,35.7795897,-78.6381787
210,10.5002633,-66.8850627
211,44.5130038,-79.8744836
212,39.9611755,-82.9987942
213,41.3308237,-94.0138393
214,35.1591307,-118.6284245
215,38.9071923,-77.0368707
216,39.445723,-123.8052935
217,21.1227621,-101.677883
218,46.5653163,-66.4619164
219,33.8648262,-84.4643744
220,-33.4488897,-70.6692655
221,19.4326077,-99.133208
222,32.7764749,-79.9310512
223,44.3148443,-85.6023643
224,18.9242095,-99.2215659
225,56.462018,-2.970721
226,31.9685988,-99.9018131
227,35.5174913,-86.5804473
228,40.7127753,-74.0059728
229,57.0488195,9.921747
230,55.6760968,12.5683372
231,29.3342457,47.9812152
232,7.2571325,5.2057909
233,33.7489954,-84.3879824
234,20.0910963,-98.7623874
235,35.4675602,-97.5164276
236,41.8781136,-87.6297982
237,41.5532208,-70.6085886
238,39.9611755,-82.9987942
239,40.3572976,-74.6672226
240,17.0731842,-96.7265889
241,40.7127753,-74.0059728
242,18.1747989,-93.070142
243,37.8271784,-122.2913078
244,-6.792354,39.2083284
245,38.9955067,-110.1623529
246,25.8195424,-80.3553302
247,38.9071923,-77.0368707
248,41.8781136,-87.6297982
249,51.253775,-85.323214
250,40.7759334,-74.6007142
251,40.4406248,-79.9958864
252,41.8781136,-87.6297982
253,42.3736158,-71.1097335
254,44.977753,-93.2650108
255,42.3600825,-71.0588801
256,40.7607793,-111.8910474
257,39.8406628,-77.5425986
258,41.8781136,-87.6297982
259,8.0882791,-63.5535552
260,38.9071923,-77.0368707
261,35.4675602,-97.5164276
262,45.4215296,-75.6971931
263,40.2588686,-103.6238367
264,40.7127753,-74.0059728
265,33.7489954,-84.3879824
266,38.677269,-87.5286325
267,39.1434406,-77.2013705
268,44.9537029,-93.0899578
269,30.2979843,-97.8019515
270,46.8796822,-110.3625658
271,44.3148443,-85.6023643
272,38.9071923,-77.0368707
273,36.9741171,-122.0307963
274,19.4326077,-99.133208
