,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1388,Mechanisms of Ab-mediated inhibition of influenza virus infection are highly dependent on the specific target epito… https://t.co/PIoDe40aXV,FALSE,13,NA,3/7/2018 16:01,TRUE,NA,9.71416E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",ASMicrobiology,8,FALSE,FALSE,NA,NA
1389,RT @PopSci: Influenza B is trying to escape our vaccine https://t.co/23aW69iFD5 https://t.co/5kv8RVpvdD,FALSE,0,NA,3/7/2018 16:00,FALSE,NA,9.71415E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",thermalsoundwav,5,TRUE,FALSE,NA,NA
1390,Influenza B is trying to escape our vaccine https://t.co/23aW69iFD5 https://t.co/5kv8RVpvdD,FALSE,12,NA,3/7/2018 16:00,FALSE,NA,9.71415E+17,NA,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",PopSci,5,FALSE,FALSE,NA,NA
1391,Developing a vaccine that can provide durable protection for all age groups against multiple #influenza strains is… https://t.co/koovHSkoaS,FALSE,3,NA,3/7/2018 16:00,TRUE,NA,9.71415E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NIHClinicalCntr,0,FALSE,FALSE,NA,NA
1392,RT @bacifinoaridere: Vorrei un sacco prendermi più cura di me ma non so al momento ho l'umore molto a terra e questo influenza la mia vogli…,FALSE,0,NA,3/7/2018 15:59,FALSE,NA,9.71415E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",artsmaIec,4,TRUE,FALSE,NA,NA
1393,RT @bacifinoaridere: Vorrei un sacco prendermi più cura di me ma non so al momento ho l'umore molto a terra e questo influenza la mia vogli…,FALSE,0,NA,3/7/2018 15:58,FALSE,NA,9.71415E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Karysmack,4,TRUE,FALSE,NA,NA
1394,Vorrei un sacco prendermi più cura di me ma non so al momento ho l'umore molto a terra e questo influenza la mia voglia di fare,FALSE,9,NA,3/7/2018 15:56,FALSE,NA,9.71414E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bacifinoaridere,4,FALSE,FALSE,NA,NA
1395,RT @Salud_Hidalgo: La vacuna de la #Influenza es segura y gratuita. Lleva a vacunar a los menores de 5 años para evitar que se contagien de…,FALSE,0,NA,3/7/2018 15:46,FALSE,NA,9.71412E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",artvillarreal73,27,TRUE,FALSE,NA,NA
1396,"RT @ThomasMHern: The leading causes of death in the United States:
-Heart Disease
-Cancer
-Respiratory Disease
-Car Accidents
-Stroke
-Alzh…",FALSE,0,NA,3/7/2018 15:45,FALSE,NA,9.71412E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NancyCatalano6,204,TRUE,FALSE,NA,NA
1397,"RT @Salud_Hidalgo: La vacuna contra la #Influenza es segura y gratuita. Embarazadas y adultos mayores, es importante que acudan a la unidad…",FALSE,0,NA,3/7/2018 15:45,FALSE,NA,9.71411E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dgfeseph,14,TRUE,FALSE,NA,NA
1398,"RT @Salud_Hidalgo: La vacuna contra la #Influenza es segura y gratuita. Embarazadas y adultos mayores, es importante que acudan a la unidad…",FALSE,0,NA,3/7/2018 15:44,FALSE,NA,9.71411E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PrestacionSSH,14,TRUE,FALSE,NA,NA
1399,"RT @DeptSaludPR: AHORA-El Secretario de Salud, Dr.Rafael Rodríguez Mercado por @WapaTV @NoticentroWAPA Vacunación contra la influenza en es…",FALSE,0,NA,3/7/2018 15:38,FALSE,NA,9.7141E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",maver23,3,TRUE,FALSE,NA,NA
1400,"RT @ThomasMHern: The leading causes of death in the United States:
-Heart Disease
-Cancer
-Respiratory Disease
-Car Accidents
-Stroke
-Alzh…",FALSE,0,NA,3/7/2018 15:37,FALSE,NA,9.71409E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Greyman7578,204,TRUE,FALSE,NA,NA
1401,"RT @DeptSaludPR: AHORA-El Secretario de Salud, Dr.Rafael Rodríguez Mercado por @WapaTV @NoticentroWAPA Vacunación contra la influenza en es…",FALSE,0,NA,3/7/2018 15:35,FALSE,NA,9.71409E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",caribbeanrivers,3,TRUE,FALSE,NA,NA
1402,So it’s day seven of Influenza 2018 in our house and we’re mostly on the mend but I’ve almost exhausted all of my “… https://t.co/k0gzdH328L,FALSE,0,NA,3/7/2018 15:35,TRUE,NA,9.71409E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RowennaM,0,FALSE,FALSE,NA,NA
1403,RT @censia_salud: Al vacunar a tu hija o hijo su organismo desarrolla la protección contra #Influenza. ¡Evita que se enferme! https://t.co/…,FALSE,0,NA,3/7/2018 15:34,FALSE,NA,9.71409E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lauvidales,4,TRUE,FALSE,NA,NA
1404,RT @OntAnHealthNet: Disease Advisory from @OMAFRA regarding the Confirmed Clusters of Canine Influenza in Essex County and Simcoe-Muskoka h…,FALSE,0,NA,3/7/2018 15:33,FALSE,NA,9.71409E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",44Nmedia,4,TRUE,FALSE,NA,NA
1405,"RT @Salud_Hidalgo: La vacuna contra la #Influenza es segura y gratuita. Embarazadas y adultos mayores, es importante que acudan a la unidad…",FALSE,0,NA,3/7/2018 15:31,FALSE,NA,9.71408E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",VoluntariadoSSH,14,TRUE,FALSE,NA,NA
1406,"<ed><U+00A0><U+00BC><ed><U+00BF><U+0081><ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#miercolesdeganarseguidores #siguemeytesigo #alinstante #devuelta #cumplo #ensegundos

 #ya #marzo2018<ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+0081>
Comienza… https://t.co/I2c2X3aKbs",FALSE,0,NA,3/7/2018 15:29,TRUE,NA,9.71407E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ehg67Jhon,0,FALSE,FALSE,NA,NA
1407,"This has been a rough flu season for us humans. As our loyal companions, our dogs rarely leave our side, so have... https://t.co/d8I63U16A1",FALSE,0,NA,3/7/2018 15:29,FALSE,NA,9.71407E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",BaxterVetClinic,0,FALSE,FALSE,NA,NA
1408,RT @abcpato: La temporada invernal cerró con 102 casos de #Influenza y 5 defunciones informó @Salud_Puebla https://t.co/ypcRCqW9jz,FALSE,0,NA,3/7/2018 15:28,FALSE,NA,9.71407E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",guillermo82ld,3,TRUE,FALSE,NA,NA
1409,RT @abcpato: La temporada invernal cerró con 102 casos de #Influenza y 5 defunciones informó @Salud_Puebla https://t.co/ypcRCqW9jz,FALSE,0,NA,3/7/2018 15:24,FALSE,NA,9.71406E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FerAbrajan1,3,TRUE,FALSE,NA,NA
1410,"This year’s influenza season has been especially dangerous. According to the Centers for Disease Control, most... https://t.co/UFULWqEhXX",FALSE,0,NA,3/7/2018 15:23,FALSE,NA,9.71406E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",MedicalShipment,0,FALSE,FALSE,NA,NA
1411,La temporada invernal cerró con 102 casos de #Influenza y 5 defunciones informó @Salud_Puebla https://t.co/ypcRCqW9jz,FALSE,0,NA,3/7/2018 15:21,FALSE,NA,9.71405E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abcpato,3,FALSE,FALSE,NA,NA
